0,Store ID,Gregorian Date,Hijri Date,Day,Greg. Month,Hijri Month,Location,Store Size,Parking,Mall,Work Hours,Cost/day,Promotion,Customer Base,Advertisements,Competition,Customers,Profit/day
56,fil-3402,2009-08-17 00:00:00,1430-08-26,Monday,August,Sha’ban,Center,Hyper,640,No,18 hrs,SAR 41718.0,None,667405,0,8,7185,SAR 344711
57,fil-3403,2009-08-17 00:00:00,1430-08-26,Monday,August,Sha’ban,Center,Grande,1995,No,18 hrs,SAR 748843.0,None,729725,0,6,12973,SAR 759266
58,fil-3404,2009-08-17 00:00:00,1430-08-26,Monday,August,Sha’ban,Border,Grande,3125,Yes,18 hrs,SAR 328354.0,None,488370,0,2,8750,SAR 406086
59,fil-3405,2009-08-17 00:00:00,1430-08-26,Monday,August,Sha’ban,Center,Hyper,925,Yes,12 hrs,SAR 16589.0,Regular,452525,181010,5,2941,SAR 146833
60,fil-3406,2009-08-17 00:00:00,1430-08-26,Monday,August,Sha’ban,Border,Hyper,1645,Yes,24 hrs,SAR 22623.0,Regular,236392,118196,2,3720,SAR 190433
61,fil-3407,2009-08-17 00:00:00,1430-08-26,,August,Sha’ban,Center,Hyper,870,Yes,12 hrs,SAR 11573.0,Grand,589460,235784,10,4597,SAR 242828
62,fil-3408,2009-08-17 00:00:00,1430-08-26,Mon,August,Sha’ban,Outskirts,Regular,1535,No,12 hrs,SAR 1077.0,None,174218,0,1,1736,SAR 94876
63,fil-3409,2009-08-17 00:00:00,1430-08-26,Monday,August,Sha’ban,Border,Grande,3070,No,12 hrs,SAR 128199.0,None,650780,0,1,8087,SAR 463595
64,fil-3410,2009-08-17 00:00:00,1430-08-26,Monday,August,Sha’ban,Center,Regular,300,No,12 hrs,SAR 6804.0,Regular,343687,206212,5,5918,SAR 311806
65,fil-3411,2009-08-17 00:00:00,1430-08-26,Monday,August,Sha’ban,Center,Hyper,760,Yes,24 hrs,SAR 79234.0,None,663033,0,11,7160,SAR 315884
66,fil-3401,2009-08-18 00:00:00,1430-08-27,Tuesday,August,Sha’ban,,Hyper,445,Yes,24 hrs,SAR 51100.0,Regular,290397,87119,10,2090,SAR 119722
67,fil-3402,2009-08-18 00:00:00,1430-08-27,Tuesday,August,Sha’ban,Center,Hyper,640,No,18 hrs,SAR 36890.0,None,667405,0,8,8179,SAR 333267
68,fil-3403,2009-08-18 00:00:00,1430-08-27,Tuesday,August,Sha’ban,Center,Grande,1995,No,18 hrs,SAR 806309.0,None,729725,0,6,8838,SAR 404313
69,fil-3404,2009-08-18 00:00:00,1430-08-27,Tuesday,August,Sha’ban,Border,Grande,3125,Yes,18 hrs,SAR 376966.0,None,488370,0,2,8058,SAR 433001
70,fil-3405,2009-08-18 00:00:00,1430-08-27,Tuesday,August,Sha’ban,Center,Hyper,925,Yes,12 hrs,SAR 16563.0,None,452525,0,5,5000,SAR 267596
71,fil-3406,2009-08-18 00:00:00,1430-08-27,Tuesday,August,Sha’ban,Border,Hyper,1645,Yes,24 hrs,SAR 21736.0,Regular,236392,118196,2,3886,SAR 166030
72,fil-3407,2009-08-18 00:00:00,1430-08-27,Tuesday,August,Sha’ban,,,870,Yes,12 hrs,SAR 11377.0,Regular,589460,235784,10,4244,SAR 218139
73,fil-3408,2009-08-18 00:00:00,1430-08-27,Tuesday,August,Sha’ban,Outskirts,Regular,1535,No,12 hrs,SAR 1065.0,Grand,174218,104530,1,2149,SAR 114860
74,fil-3409,2009-08-18 00:00:00,1430-08-27,Tuesday,,Sha’ban,Border,Grande,3070,No,12 hrs,SAR 132969.0,None,650780,0,1,11128,SAR 565432
75,fil-3410,2009-08-18 00:00:00,1430-08-27,Tuesday,August,Sha’ban,Center,Regular,300,No,12 hrs,SAR 7904.0,None,343687,0,5,6200,SAR 304508
76,fil-3411,2009-08-18 00:00:00,1430-08-27,Tuesday,,Sha’ban,Center,Hyper,760,Yes,24 hrs,SAR 77946.0,Regular,663033,331516,11,3978,SAR 191232
77,fil-3401,2009-08-19 00:00:00,1430-08-28,Wednesday,Aug,Sha’ban,Center,Hyper,445,Yes,24 hrs,SAR 40424.0,None,290397,0,10,3658,SAR 189396
78,fil-3402,2009-08-19 00:00:00,1430-08-28,Wednesday,August,Sha’ban,Center,Hyper,640,No,18 hrs,SAR 38140.0,Regular,667405,200221,8,10197,SAR 519442
79,fil-3403,2009-08-19 00:00:00,1430-08-28,Wednesday,August,Sha’ban,Center,Grande,1995,No,18 hrs,SAR 739980.0,None,729725,0,6,7351,SAR 350888
80,fil-3404,2009-08-19 00:00:00,1430-08-28,Wednesday,August,Sha’ban,Border,Grande,3125,Yes,18 hrs,SAR 289232.0,None,488370,0,2,5285,SAR 264565
81,fil-3405,2009-08-19 00:00:00,1430-08-28,Wednesday,August,Sha’ban,Center,Hyper,925,Yes,12 hrs,SAR 16492.0,None,452525,0,5,5882,SAR 273598
82,fil-3406,2009-08-19 00:00:00,1430-08-28,Wednesday,August,Sha’ban,Border,Hyper,1645,Yes,24 hrs,SAR 24959.0,None,236392,0,2,1820,SAR 102102
83,fil-3407,2009-08-19 00:00:00,1430-08-28,Wed,August,Sha’ban,Center,Hyper,870,Yes,12 hrs,SAR 12729.0,Regular,589460,353676,10,8134,SAR 471570
84,fil-3408,2009-08-19 00:00:00,1430-08-28,Wednesday,August,Sha’ban,,Regular,1535,No,12 hrs,SAR 1023.0,Regular,174218,52265,1,3420,SAR 157329
85,fil-3409,2009-08-19 00:00:00,1430-08-28,Wednesday,August,Sha’ban,Border,Grande,3070,No,12 hrs,SAR 160552.0,Grand,650780,195234,1,13329,SAR 696830
86,fil-3410,2009-08-19 00:00:00,1430-08-28,Wednesday,August,Sha’ban,Center,Regular,300,No,12 hrs,SAR 6213.0,None,343687,0,5,6513,SAR 325405
87,fil-3411,2009-08-19 00:00:00,1430-08-28,Wednesday,Aug,Sha’ban,Center,,760,Yes,24 hrs,SAR 87774.0,None,663033,0,11,5569,SAR 275902
88,fil-3401,2009-08-20 00:00:00,1430-08-29,Thursday,August,Sha’ban,Center,Hyper,445,Yes,24 hrs,SAR 48462.0,None,290397,0,10,4007,SAR 187861
89,fil-3402,2009-08-20 00:00:00,1430-08-29,Thursday,August,Sha’ban,Center,Hyper,640,No,18 hrs,SAR 32602.0,None,667405,0,8,8275,SAR 405674
90,fil-3403,2009-08-20 00:00:00,1430-08-29,Thursday,August,Sha’ban,Center,Grande,1995,No,18 hrs,SAR 884639.0,Regular,729725,218917,6,13242,SAR 736212
91,fil-3404,2009-08-20 00:00:00,1430-08-29,Thursday,August,Sha’ban,Border,Grande,3125,Yes,18 hrs,SAR 357541.0,None,488370,0,2,8896,SAR 461610
92,fil-3405,2009-08-20 00:00:00,1430-08-29,Thursday,August,Sha’ban,Center,,925,Yes,12 hrs,SAR 17233.0,None,452525,0,5,6176,SAR 281169
93,fil-3406,2009-08-20 00:00:00,1430-08-29,Thursday,August,Sha’ban,Border,Hyper,1645,Yes,24 hrs,SAR 23309.0,None,236392,0,2,2673,SAR 154202
94,fil-3407,2009-08-20 00:00:00,1430-08-29,Thursday,August,Sha’ban,Center,Hyper,870,Yes,12 hrs,SAR 11604.0,None,589460,0,10,6366,SAR 333616
95,fil-3408,2009-08-20 00:00:00,1430-08-29,Thursday,August,Sha’ban,Outskirts,Regular,1535,No,12 hrs,SAR 1011.0,Regular,174218,87109,1,1614,SAR 82036
96,fil-3409,2009-08-20 00:00:00,1430-08-29,Thursday,August,Sha’ban,Border,Grande,3070,No,12 hrs,SAR 171590.0,Regular,650780,390468,1,10178,SAR 442035
97,fil-3410,2009-08-20 00:00:00,1430-08-29,Thu,August,Sha’ban,Center,Regular,300,No,12 hrs,SAR 8381.0,Grand,343687,171843,5,5574,SAR 288840
98,fil-3411,2009-08-20 00:00:00,1430-08-29,Thursday,August,Sha’ban,Center,Hyper,760,Yes,24 hrs,SAR 73379.0,None,663033,0,11,9149,SAR 461381
99,fil-3401,2009-08-21 00:00:00,1430-08-30,Friday,August,Sha’ban,Center,Hyper,445,Yes,24 hrs,SAR 51314.0,Grand,290397,145198,10,4781,SAR 261421
100,fil-3402,2009-08-21 00:00:00,1430-08-30,Friday,August,Sha’ban,Center,Hyper,640,No,18 hrs,SAR 41845.0,None,667405,0,8,8268,SAR 391794
101,fil-3403,2009-08-21 00:00:00,1430-08-30,Fri,August,Sha’ban,Center,Grande,1995,No,18 hrs,SAR 730935.0,None,729725,0,6,13572,SAR 670966
102,fil-3404,2009-08-21 00:00:00,1430-08-30,Fri,August,Sha’ban,Border,Grande,3125,Yes,18 hrs,SAR 428693.0,Regular,488370,146511,2,8469,SAR 411029
103,fil-3405,2009-08-21 00:00:00,1430-08-30,Friday,August,Sha’ban,Center,Hyper,925,Yes,12 hrs,SAR 18295.0,None,452525,0,5,4782,SAR 279451
104,fil-3406,2009-08-21 00:00:00,1430-08-30,Friday,August,Sha’ban,Border,Hyper,1645,Yes,24 hrs,SAR 20164.0,None,236392,0,2,3652,SAR 161349
105,fil-3407,2009-08-21 00:00:00,1430-08-30,Friday,Aug,Sha’ban,Center,Hyper,870,Yes,12 hrs,SAR 11865.0,None,589460,0,10,10921,SAR 486596
106,fil-3408,2009-08-21 00:00:00,1430-08-30,Friday,Aug,Sha’ban,Outskirts,,1535,No,12 hrs,SAR 1137.0,None,174218,0,1,2297,SAR 107714
107,fil-3409,2009-08-21 00:00:00,1430-08-30,Friday,August,Sha’ban,Border,Grande,3070,No,12 hrs,SAR 157056.0,Regular,650780,195234,1,9730,SAR 514066
108,fil-3410,2009-08-21 00:00:00,1430-08-30,Friday,August,Sha’ban,Center,Regular,300,No,12 hrs,SAR 7421.0,Regular,343687,206212,5,5114,SAR 244661
109,fil-3411,2009-08-21 00:00:00,1430-08-30,Friday,August,Sha’ban,Center,Hyper,760,Yes,24 hrs,SAR 70661.0,Grand,663033,265213,11,11788,SAR 574573
110,fil-3401,2009-08-22 00:00:00,1430-09-01,Saturday,August,Ramadhan,,Hyper,445,Yes,24 hrs,SAR 52466.0,Regular,290397,116158,10,5471,SAR 301405
111,fil-3402,2009-08-22 00:00:00,1430-09-01,Saturday,August,Ramadhan,,Hyper,640,No,18 hrs,SAR 27877.0,Grand,667405,333702,8,9099,SAR 474284
112,fil-3403,2009-08-22 00:00:00,1430-09-01,Sat,August,Ramadhan,Center,Grande,1995,No,18 hrs,SAR 732558.0,None,729725,0,6,9890,SAR 467240
113,fil-3404,2009-08-22 00:00:00,1430-09-01,Saturday,August,Ramadhan,Border,Grande,3125,Yes,18 hrs,SAR 327779.0,None,488370,0,2,8518,SAR 385508
114,fil-3405,2009-08-22 00:00:00,1430-09-01,Sat,,Ramadhan,Center,Hyper,925,Yes,12 hrs,SAR 16359.0,Regular,452525,226262,5,3235,SAR 185653
115,fil-3406,2009-08-22 00:00:00,1430-09-01,Saturday,August,Ramadhan,Border,Hyper,1645,Yes,24 hrs,SAR 23073.0,None,236392,0,2,3948,SAR 189953
116,fil-3407,2009-08-22 00:00:00,1430-09-01,Saturday,August,Ramadhan,Center,Hyper,870,Yes,12 hrs,SAR 12570.0,None,589460,0,10,8212,SAR 416863
117,fil-3408,2009-08-22 00:00:00,1430-09-01,Saturday,August,Ramadhan,Outskirts,Regular,1535,No,12 hrs,SAR 964.0,None,174218,0,1,2291,SAR 101418
118,fil-3409,2009-08-22 00:00:00,1430-09-01,Sat,August,Ramadhan,Border,Grande,3070,No,12 hrs,SAR 137459.0,None,650780,0,1,6714,SAR 399996
119,fil-3410,2009-08-22 00:00:00,1430-09-01,Saturday,August,Ramadhan,,Regular,300,No,12 hrs,SAR 6618.0,Regular,343687,171843,5,3738,SAR 205840
120,fil-3411,2009-08-22 00:00:00,1430-09-01,Saturday,August,Ramadhan,Center,Hyper,760,Yes,24 hrs,SAR 84117.0,Regular,663033,265213,11,6237,SAR 370747
121,fil-3401,2009-08-23 00:00:00,1430-09-02,Sunday,August,Ramadhan,Center,Hyper,445,Yes,24 hrs,SAR 46926.0,Regular,290397,87119,10,1742,SAR 98680
122,fil-3402,2009-08-23 00:00:00,1430-09-02,Sun,,Ramadhan,Center,Hyper,640,No,18 hrs,SAR 35474.0,Regular,667405,400443,8,5520,SAR 253914
123,fil-3403,2009-08-23 00:00:00,1430-09-02,Sunday,August,Ramadhan,Center,Grande,1995,No,18 hrs,SAR 788292.0,Grand,729725,291890,6,10453,SAR 635291
124,fil-3404,2009-08-23 00:00:00,1430-09-02,Sun,August,Ramadhan,Border,Grande,3125,Yes,18 hrs,SAR 320657.0,None,488370,0,2,4850,SAR 264123
125,fil-3405,2009-08-23 00:00:00,1430-09-02,Sunday,August,Ramadhan,Center,,925,Yes,12 hrs,SAR 18314.0,None,452525,0,5,5882,SAR 298858
126,fil-3406,2009-08-23 00:00:00,1430-09-02,Sunday,August,Ramadhan,Border,Hyper,1645,Yes,24 hrs,SAR 22749.0,Regular,236392,118196,2,2882,SAR 152431
127,fil-3407,2009-08-23 00:00:00,1430-09-02,Sunday,August,Ramadhan,Center,Hyper,870,Yes,12 hrs,SAR 12678.0,None,589460,0,10,4951,SAR 219533
128,fil-3408,2009-08-23 00:00:00,1430-09-02,Sunday,Aug,Ramadhan,Outskirts,Regular,1535,No,12 hrs,SAR 1152.0,None,174218,0,1,1843,SAR 93605
129,fil-3409,2009-08-23 00:00:00,1430-09-02,Sunday,August,Ramadhan,Border,,3070,No,12 hrs,SAR 127646.0,None,650780,0,1,6039,SAR 333444
130,fil-3410,2009-08-23 00:00:00,1430-09-02,Sunday,August,Ramadhan,Center,Regular,300,No,12 hrs,SAR 7841.0,None,343687,0,5,3882,SAR 218366
131,fil-3411,2009-08-23 00:00:00,1430-09-02,Sunday,August,Ramadhan,Center,Hyper,760,Yes,24 hrs,SAR 94231.0,Regular,663033,265213,11,4375,SAR 204716
132,fil-3401,2009-08-24 00:00:00,1430-09-03,Monday,August,Ramadhan,Center,Hyper,445,Yes,24 hrs,SAR 50987.0,None,290397,0,10,4007,SAR 206389
133,fil-3402,2009-08-24 00:00:00,1430-09-03,Mon,August,Ramadhan,Center,Hyper,640,No,18 hrs,SAR 39074.0,Regular,667405,333702,8,12253,SAR 584390
134,fil-3403,2009-08-24 00:00:00,1430-09-03,Monday,August,Ramadhan,,Grande,1995,No,18 hrs,SAR 816755.0,Regular,729725,364862,6,9118,SAR 514983
135,fil-3404,2009-08-24 00:00:00,1430-09-03,Monday,,Ramadhan,,Grande,3125,Yes,18 hrs,SAR 310979.0,Grand,488370,146511,2,7773,SAR 408779
136,fil-3405,2009-08-24 00:00:00,1430-09-03,Mon,August,Ramadhan,Center,Hyper,925,Yes,12 hrs,SAR 17603.0,None,452525,0,5,3235,SAR 140469
137,fil-3406,2009-08-24 00:00:00,1430-09-03,,August,Ramadhan,Border,Hyper,1645,Yes,24 hrs,SAR 20167.0,None,236392,0,2,4374,SAR 197727
138,fil-3407,2009-08-24 00:00:00,1430-09-03,Monday,August,Ramadhan,Center,Hyper,870,Yes,12 hrs,SAR 13396.0,Regular,589460,235784,10,3890,SAR 141326
139,fil-3408,2009-08-24 00:00:00,1430-09-03,Monday,August,Ramadhan,Outskirts,Regular,1535,No,12 hrs,SAR 1203.0,None,174218,0,1,3104,SAR 156487
140,fil-3409,2009-08-24 00:00:00,1430-09-03,Monday,August,Ramadhan,Border,Grande,3070,No,12 hrs,SAR 129859.0,None,650780,0,1,9322,SAR 508258
141,fil-3410,2009-08-24 00:00:00,1430-09-03,Mon,August,Ramadhan,Center,Regular,300,No,12 hrs,SAR 7496.0,None,343687,0,5,3047,SAR 148946
142,fil-3411,2009-08-24 00:00:00,1430-09-03,Mon,August,Ramadhan,Center,Hyper,760,Yes,24 hrs,SAR 82192.0,None,663033,0,11,6365,SAR 331665
143,fil-3401,2009-08-25 00:00:00,1430-09-04,Tuesday,,Ramadhan,Center,Hyper,445,Yes,24 hrs,SAR 44889.0,None,290397,0,10,4181,SAR 188258
144,fil-3402,2009-08-25 00:00:00,1430-09-04,Tuesday,Aug,Ramadhan,Center,Hyper,640,No,18 hrs,SAR 36067.0,None,667405,0,8,5179,SAR 268318
145,fil-3403,2009-08-25 00:00:00,1430-09-04,Tuesday,August,Ramadhan,Center,Grande,1995,No,18 hrs,SAR 794684.0,Regular,729725,218917,6,10911,SAR 467303
146,fil-3404,2009-08-25 00:00:00,1430-09-04,Tue,August,Ramadhan,Border,Grande,3125,Yes,18 hrs,SAR 411603.0,Regular,488370,195348,2,4547,SAR 211779
147,fil-3405,2009-08-25 00:00:00,1430-09-04,Tuesday,August,Ramadhan,Center,Hyper,925,Yes,12 hrs,SAR 17618.0,Grand,452525,271515,5,5588,SAR 297319
148,fil-3406,2009-08-25 00:00:00,1430-09-04,Tuesday,August,Ramadhan,Border,Hyper,1645,Yes,24 hrs,SAR 26178.0,None,236392,0,2,3525,SAR 170603
149,fil-3407,2009-08-25 00:00:00,1430-09-04,Tuesday,,Ramadhan,Center,,870,Yes,12 hrs,SAR 12145.0,None,589460,0,10,3890,SAR 167504
150,fil-3408,2009-08-25 00:00:00,1430-09-04,Tuesday,August,Ramadhan,Outskirts,Regular,1535,No,12 hrs,SAR 1061.0,Regular,174218,87109,1,2135,SAR 114842
151,fil-3409,2009-08-25 00:00:00,1430-09-04,Tuesday,August,Ramadhan,Border,Grande,3070,No,12 hrs,SAR 139585.0,None,650780,0,1,11987,SAR 616482
152,fil-3410,2009-08-25 00:00:00,1430-09-04,Tuesday,,Ramadhan,Center,Regular,300,No,12 hrs,SAR 7122.0,None,343687,0,5,4027,SAR 186446
